indicator,region,period,value,unit,source_key,notes
mean_annual_temp_change,Sakha Republic (Yakutia) overall,1966-2023,+3.0,degC_total,ysia_ulus_media,"Analysis across 97 active meteorological stations"
warming_rate_central,Central Yakutia,last_30_years,0.5-0.7,degC_per_decade,cyberleninka,"Surface air temperature trend"
warming_rate_far_north,Far North of Yakutia,last_30_years,~1.0,degC_per_decade,cyberleninka,"~+3 degC over 30 years; warming faster in the north"
warming_min_districts,"Aldan, Olekminsk, Yugorenok, Ust-Charky",1966-2023,1.5-1.9,degC_total,ysia,"Smallest observed trends in the republic"
warming_season_bias,Sakha Republic (Yakutia),1966-2023,winter-dominated,qualitative,ysia,"Warming driven mainly by rising winter temperatures; milder winters aid tick overwintering"
global_mean_temp_change,Global,since_pre_industrial,~1.1-1.2,degC_total,context,"For comparison; Yakutia warms substantially faster than global mean (Arctic amplification)"
warming_rate_south,South Yakutia,1966-2020,+2.4,degC_total,cyberleninka,"Annual warming trend, stable since late 1980s"
projection_basis,Sakha Republic (Yakutia),2011-2030 vs 1981-2000,CMIP5/RCP,scenario,voeikov_mgo,"Russian climate-center scenario projections (CMIP5); near-term horizon 2011-2030"
projected_warming_to_2030,Central Yakutia,2025-2030,~0.06,degC_per_year,projection,"Assumption used in model_ready.csv temp_anomaly_modeled_c: continue ~0.6 degC/decade observed rate"
yakutsk_annual_temp_norm,Yakutsk station (WMO 24959),long-term norm,-8.8,degC,pogodaiklimat,"Long-term mean annual air temperature, observed"
yakutsk_annual_temp_2017,Yakutsk station (WMO 24959),2017,-6.7,degC,ysia,"Previous record-warm year (observed annual mean)"
yakutsk_annual_temp_2020,Yakutsk station (WMO 24959),2020,-5.9,degC,ysia,"Record-warm year, anomaly +2.9 degC vs norm (observed annual mean)"
yakutsk_annual_temp_recent,Yakutsk station (WMO 24959),post-2020,~-7,degC,ysia,"Several recent years near -7 degC (warmer than -8.8 norm)"
