district_en,year,tick_bites,approx_latitude_N,source
Yakutsk city,2006,9,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2007,3,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2008,2,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2009,8,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2010,5,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2011,11,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2012,13,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2013,23,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2014,11,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2015,21,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2016,33,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2017,33,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Yakutsk city,2018,15,62.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2006,7,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2007,5,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2008,7,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2009,14,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2010,38,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2011,29,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2012,19,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2013,32,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2014,54,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2015,60,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2016,102,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2017,75,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Aldansky,2018,72,58.6,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2006,18,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2007,8,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2008,40,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2009,25,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2010,44,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2011,29,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2012,18,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2013,13,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2014,38,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2015,23,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2016,64,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2017,26,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Neryungrinsky,2018,25,56.7,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2006,1,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2007,3,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2008,3,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2009,6,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2010,3,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2011,2,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2012,10,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2013,3,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2014,8,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2015,3,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2016,28,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2017,12,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Suntarsky,2018,8,62.2,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2006,1,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2007,0,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2008,2,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2009,3,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2010,0,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2011,2,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2012,5,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2013,5,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2014,12,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2015,15,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2016,6,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2017,14,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Khangalassky,2018,6,61.0,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2006,2,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
Nyurbinsky,2007,0,63.3,Atmosphere2021_Vladimirov_RospotrebnadzorRSY
